License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code
525341,ACTIVE,47,05/01/2013,04/30/2027,"GLOBAL CITY HOTELS, INC","1177 AIRPORT BLVD,BURLINGAME, CA  94010-1909Census Tract:  6054.00",CROWNE PLAZA SAN FRANCISCO AIRPORT BURLINGAME,4103
525473,ACTIVE,48,11/09/2012,10/31/2026,"HK STL, INC.","1741 EL CAMINO REAL,MILLBRAE, CA  94030-1215Census Tract:  6044.00",STARLIGHT LOUNGE,4108
530118,ACTIVE,47,07/01/2013,03/31/2027,"ALVAREZ, LAURA PATRICIA","1123 BURLINGAME AVE,BURLINGAME, CA  94010-4115Census Tract:  6055.02",LA CORNETA,4103
535330,ACTIVE,41,10/08/2013,09/30/2026,JIMMY LAI LAI & COMPANY,"334 BROADWAY,MILLBRAE, CA  94030-2510Census Tract:  6039.00",LAI LAI RESTAURANT,4108
542277,ACTIVE,68,06/04/2014,05/31/2027,"DJONT OPERATIONS, L.L.C.","150 ANZA BLVD,BURLINGAME, CA  94010-1924Census Tract:  6054.00",,4103
542277,ACTIVE,47,06/04/2014,05/31/2027,"DJONT OPERATIONS, L.L.C.","150 ANZA BLVD,BURLINGAME, CA  94010-1924Census Tract:  6054.00",,4103
542389,ACTIVE,41,05/30/2014,04/30/2027,"XUE, JUNSONG","270 BROADWAY,MILLBRAE, CA  94030-2508Census Tract:  6039.00",WONDERFUL,4108
544817,ACTIVE,42,10/13/2015,01/31/2027,TOTTENHAM WINES & SPIRITS INTERNATIONAL LLC,"337 PRIMROSE AVE,BURLINGAME, CA  94010-4004Census Tract:  6055.01","PRESTIGE WINE AND LIQUOR, WINE STOP THE",4103
547237,ACTIVE,42,10/27/2014,02/28/2027,"BACCHUS CONSULTING GROUP, LLC","25 HILLCREST BLVD,MILLBRAE, CA  94030-2637Census Tract:  6044.00",,4108
547237,ACTIVE,58,10/27/2014,02/28/2027,"BACCHUS CONSULTING GROUP, LLC","25 HILLCREST BLVD,MILLBRAE, CA  94030-2637Census Tract:  6044.00",,4108
547237,ACTIVE,86,10/27/2014,02/28/2027,"BACCHUS CONSULTING GROUP, LLC","25 HILLCREST BLVD,MILLBRAE, CA  94030-2637Census Tract:  6044.00",,4108
551167,ACTIVE,47,12/23/2014,11/30/2026,"ASLAM'S RASOI 2, INC.","1425 BURLINGAME AVE,BURLINGAME, CA  94010-4110Census Tract:  6055.02",ASLAMS RASOI,4103
552952,ACTIVE,41,03/23/2015,02/28/2027,GOLDEN YANGON LLC,"1136 BROADWAY,BURLINGAME, CA  94010-3422Census Tract:  6051.00",YANGON,4103
555043,ACTIVE,41,04/29/2015,03/31/2027,YOUNG CAN WOK CHINESE BISTRO,"1200 BROADWAY,BURLINGAME, CA  94010-3424Census Tract:  6051.00",YOUNG CAN WOK CHINESE BISTRO,4103
555452,ACTIVE,58,07/02/2015,02/28/2027,PAMELA KEITH INC,"840 STANTON RD,BURLINGAME, CA  94010-1404Census Tract:  6051.00",CUISINE STYLE,4103
555452,ACTIVE,47,07/02/2015,02/28/2027,PAMELA KEITH INC,"840 STANTON RD,BURLINGAME, CA  94010-1404Census Tract:  6051.00",CUISINE STYLE,4103
559161,ACTIVE,42,10/09/2015,09/30/2026,"DEL OLIVA, INC.","1440 BURLINGAME AVE,BURLINGAME, CA  94010-4111Census Tract:  6055.01",DEL' OLIVA,4103
560980,ACTIVE,41,11/20/2015,10/31/2026,"WEN JUN, INC.","1661 EL CAMINO REAL,MILLBRAE, CA  94030-1214Census Tract:  6039.00",YUMMY SZECHUAN,4108
562902,ACTIVE,41,03/29/2016,02/28/2027,"CHONG, PO KUEN","245 EL CAMINO REAL,MILLBRAE, CA  94030-2607Census Tract:  6039.00",CHEUNG HING MILLBRAE INC,4108
566043,ACTIVE,47,04/15/2016,03/31/2027,"F&JP EATS, LLC","1101 BURLINGAME AVE,BURLINGAME, CA  94010-4105Census Tract:  6055.02",LIMON,4103
567390,ACTIVE,58,05/16/2016,04/30/2027,MAVERICK JACK'S LLC,"1190 CALIFORNIA DR,BURLINGAME, CA  94010-3506Census Tract:  6051.00",MAVERICK JACKS,4103
567390,ACTIVE,41,05/16/2016,04/30/2027,MAVERICK JACK'S LLC,"1190 CALIFORNIA DR,BURLINGAME, CA  94010-3506Census Tract:  6051.00",MAVERICK JACKS,4103
571875,ACTIVE,41,09/15/2016,08/31/2026,"KY GOD, INC.","133 EL CAMINO REAL,MILLBRAE, CA  94030-2605Census Tract:  6039.00",MOM'S TOFU HOUSE,4108
573188,SUREND,42,11/21/2016,10/31/2026,VINEYARD GATE SELECTIONS LLC,"238 BROADWAY,MILLBRAE, CA  94030Census Tract:  6039.00",VINEYARD GATE SELECTIONS LLC,4108
575504,ACTIVE,41,12/02/2016,11/30/2026,ROYAL FEAST,"150 EL CAMINO REAL,MILLBRAE, CA  94030-2606Census Tract:  6039.00",,4108
576222,ACTIVE,47,02/07/2017,01/31/2027,MIKDAT CORPORATION,"248-50 LORTON AVE,BURLINGAME, CA  94010-4204Census Tract:  6055.02",FARM AND VINE,4103
577196,ACTIVE,68,04/04/2017,03/31/2027,"ANTON MILLBRAE, LLC","1100 EL CAMINO REAL,MILLBRAE, CA  94030-2015Census Tract:  6044.00",TERRACE CAFE,4108
577196,ACTIVE,47,04/04/2017,03/31/2027,"ANTON MILLBRAE, LLC","1100 EL CAMINO REAL,MILLBRAE, CA  94030-2015Census Tract:  6044.00",TERRACE CAFE,4108
577614,ACTIVE,41,05/01/2017,04/30/2027,ONE PIECE REALITY LLC,"108 PARK PL,MILLBRAE, CA  94030-1235Census Tract:  6039.00",ONE PIECE,4108
577627,ACTIVE,58,03/15/2017,02/28/2027,"CRYSTAL SPRINGS GOLF PARTNERS, L.P.","6650 GOLF COURSE DR,BURLINGAME, CA  94010Census Tract:  6135.01",CRYSTAL SPRINGS GOLF COURSE AND FAIRVIEW CRYSTAL SPRINGS,4103
577627,ACTIVE,47,03/15/2017,02/28/2027,"CRYSTAL SPRINGS GOLF PARTNERS, L.P.","6650 GOLF COURSE DR,BURLINGAME, CA  94010Census Tract:  6135.01",CRYSTAL SPRINGS GOLF COURSE AND FAIRVIEW CRYSTAL SPRINGS,4103
577627,ACTIVE,68,03/15/2017,02/28/2027,"CRYSTAL SPRINGS GOLF PARTNERS, L.P.","6650 GOLF COURSE DR,BURLINGAME, CA  94010Census Tract:  6135.01",CRYSTAL SPRINGS GOLF COURSE AND FAIRVIEW CRYSTAL SPRINGS,4103
578650,ACTIVE,41,05/04/2017,04/30/2027,ASIAN BOX PALO ALTO LLC,"1401 BURLINGAME AVE,BURLINGAME, CA  94010-4110Census Tract:  6055.02",ASIAN BOX,4103
581454,ACTIVE,41,09/15/2017,08/31/2027,"HU BEI LOUNGE, LLC","1055 EL CAMINO REAL,MILLBRAE, CA  94030-2013Census Tract:  6039.00",HU BEI RESTAURANT AND LOUNGE,4108
583167,ACTIVE,47,09/20/2017,08/31/2027,"JBG, LLC","1300 HOWARD AVE,BURLINGAME, CA  94010-4211Census Tract:  6055.02",PARK & HOWARD BISTRO,4103
583643,ACTIVE,41,09/11/2017,04/30/2027,GOURMET VILLAGE RESTAURANT INC.,"465 BROADWAY,MILLBRAE, CA  94030-1905Census Tract:  6039.00",GOURMET VILLAGE,4108
587696,ACTIVE,47,11/21/2017,10/31/2026,OM TARA RESTAURANT GROUP INC,"333 BROADWAY,MILLBRAE, CA  94030-2509Census Tract:  6039.00",SUGANDH INDIAN RESTAURANT & BAR,4108
588724,ACTIVE,41,01/16/2018,12/31/2026,KYOFUJI CORPORATION,"1861 EL CAMINO REAL,BURLINGAME, CA  94010-3220Census Tract:  6050.00",RAMEN SARYO HACHI,4103
589122,ACTIVE,41,06/08/2018,05/31/2027,"SCENTED PEOPLE, INC.","819 MITTEN RD #39,BURLINGAME, CA  94010-1323Census Tract:  6051.00",BULLS HEAD SUSHI,4103
589397,ACTIVE,41,01/25/2018,01/31/2027,"MILLBRAE KEBABS & GYROS, INC.","675 BROADWAY,MILLBRAE, CA  94030-1909Census Tract:  6048.00",,4108
589791,ACTIVE,47,10/29/2018,09/30/2026,"H.L. PENINSULA GARDEN, INC.","1590 BAYSHORE HWY,BURLINGAME, CA  94010-1601Census Tract:  6051.00",H.L. PENINSULA PEARL,4103
590026,ACTIVE,41,03/02/2018,02/28/2027,9 NOODLE HOUSE,"9 HILLCREST BLVD,MILLBRAE, CA  94030-2637Census Tract:  6039.00",SPECIAL HAINAN CHICKEN,4108
590704,ACTIVE,41,10/16/2018,09/30/2026,NIMBUS FOODS INC,"350 ADRIAN RD,MILLBRAE, CA  94030-3105Census Tract:  6039.00",STICK AND STEAM,4108
591706,ACTIVE,41,09/05/2018,08/31/2027,SPICY FACTORY LLC,"1803 A EL CAMINO REAL,BURLINGAME, CA  94010-3202Census Tract:  6050.00",SPICY FACTORY,4103
594728,ACTIVE,42,03/08/2019,02/28/2027,"WINE REVELRY, LLC","310 LORTON AVE,BURLINGAME, CA  94010-4104Census Tract:  6055.01",VELVET 48,4103
594830,ACTIVE,41,09/04/2018,08/31/2026,"SEGA FOOD GROUP, INC.","1380 BURLINGAME AVE,BURLINGAME, CA  94010-4109Census Tract:  6055.01",CAFFE CENTRAL,4103
594856,ACTIVE,47,08/06/2018,07/31/2027,"SALTYARD, LLC","322 LORTON AVE,BURLINGAME, CA  94010-4104Census Tract:  6055.01",SALT YARD RESTAURANT,4103
594876,ACTIVE,47,09/21/2018,08/31/2026,SISTERS SIXTEEN LLC,"448-450 BROADWAY,MILLBRAE, CA  94030-1906Census Tract:  6039.00",16 MILE HOUSE,4108
595021,ACTIVE,41,11/13/2018,10/31/2026,"CALIBRIA, INC.","1326 BROADWAY AVE,BURLINGAME, CA  94010-3426Census Tract:  6051.00",CENTRO PIZZA,4103
596844,ACTIVE,41,03/25/2019,02/28/2027,POKITIME 168 WESTLAKE LLC,"1117 BURLINGAME AVE,BURLINGAME, CA  94010-4115Census Tract:  6055.02",TUNA KAHUNA,4103
598688,ACTIVE,47,03/06/2019,02/28/2027,RISE PIZZERIA LLC,"1451 BURLINGAME AVE,BURLINGAME, CA  94010-4110Census Tract:  6055.02",RISE PIZZERIA,4103
600443,ACTIVE,58,12/26/2018,11/30/2026,CLASSIC EATERY INC.,"1250 BAYSHORE HWY,BURLINGAME, CA  94010-1805Census Tract:  6051.00",MAX'S OF BURLINGAME,4103
600443,ACTIVE,47,12/26/2018,11/30/2026,CLASSIC EATERY INC.,"1250 BAYSHORE HWY,BURLINGAME, CA  94010-1805Census Tract:  6051.00",MAX'S OF BURLINGAME,4103
604124,ACTIVE,70,06/18/2019,05/31/2027,"SAN FRANCISCO AIRPORT SOUTH TL, L.P.","110 S EL CAMINO REAL,MILLBRAE, CA  94030-3121Census Tract:  6039.00",DYLAN HOTEL AT SFO THE,4108
605150,ACTIVE,41,07/29/2019,06/30/2027,CHANG RESTAURANT GROUP INC,"195 EL CAMINO REAL,MILLBRAE, CA  94030-2605Census Tract:  6039.00",PPQ DUNGENESS ISLAND,4108
605599,ACTIVE,47,07/18/2019,06/30/2027,BAY HARBOR SEAFOOD RESTAURANT INC,"1492 BAYSHORE HWY,BURLINGAME, CA  94010-1701Census Tract:  6051.00",GRAND HARBOR SEAFOOD AND DIMSUM,4103
608584,ACTIVE,41,12/23/2019,11/30/2026,GAO'S GROUP INC.,"1625 EL CAMINO REAL,MILLBRAE, CA  94030-1214Census Tract:  6044.00",TASTY PLACE,4108
